Normalized_Title,Game_Title,Rating,Plays,Playing,Wishlist,Global_Sales,Engagement_Sales_Anomaly
billy hatcher and the giant egg,Billy Hatcher and the Giant Egg,3.1,797.0,12.0,212.0,0.25,Normal
binary domain,Binary Domain,3.5,1100.0,9.0,192.0,0.52,Normal
bioshock,BioShock,4.0,17000.0,339.0,1200.0,4.69,Normal
bioshock 2,BioShock 2,3.6,9100.0,103.0,691.0,4.0,Normal
bioshock infinite,BioShock Infinite,3.5,18000.0,197.0,949.0,4.39,Normal
black,Black,3.4,2100.0,19.0,196.0,1.67,Normal
bloodborne,Bloodborne,4.5,17000.0,1100.0,3300.0,2.38,Normal
borderlands,Borderlands,3.1,9100.0,98.0,450.0,5.7299999999999995,Normal
borderlands 2,Borderlands 2,3.5,16000.0,344.0,494.0,7.109999999999999,Normal
braid,Braid,3.4,3500.0,26.0,385.0,0.03,Normal
brothers a tale of two sons,Brothers: A Tale of Two Sons,3.5,4000.0,28.0,334.0,0.17,Normal
bulletstorm,Bulletstorm,3.2,2300.0,6.0,125.0,1.71,Normal
bully,Bully,3.9,6700.0,80.0,768.0,0.94,Normal
bully scholarship edition,Bully: Scholarship Edition,4.0,3900.0,92.0,457.0,1.62,Normal
